Enrollment_ID,Access,Discussion,Navigate,Page Close,Problems,Video,Session,Wiki,Total_Time,Result
1,178.0,0.0,0.0,0.0,148.0,47.0,15,0.0,425.9333333000001,0
4,162.0,0.0,0.0,0.0,23.0,14.0,12,0.0,261.6166667,0
9,84.0,0.0,0.0,0.0,8.0,3.0,7,0.0,340.0,1
12,72.0,0.0,0.0,0.0,0.0,51.0,10,0.0,297.5,0
14,112.0,0.0,0.0,0.0,32.0,10.0,9,0.0,368.8,1
16,322.0,0.0,0.0,0.0,119.0,38.0,22,0.0,352.9166667,0
18,174.0,0.0,0.0,0.0,39.0,15.0,25,0.0,379.1666667,0
20,136.0,0.0,0.0,0.0,0.0,30.0,12,0.0,117.91666670000001,0
26,241.0,0.0,0.0,0.0,10.0,56.0,18,0.0,482.65,0
30,6.0,0.0,0.0,0.0,4.0,0.0,2,0.0,9.366666667,0
31,285.0,0.0,0.0,0.0,52.0,49.0,8,0.0,313.7333333,1
35,133.0,0.0,0.0,0.0,75.0,18.0,22,0.0,165.0,0
39,241.0,0.0,0.0,0.0,33.0,94.0,9,0.0,491.58333330000005,1
53,285.0,0.0,0.0,0.0,53.0,110.0,27,0.0,425.71666669999996,0
60,107.0,0.0,0.0,0.0,73.0,0.0,6,0.0,112.38333329999999,0
65,75.0,0.0,0.0,0.0,4.0,49.0,14,0.0,230.91666669999998,1
67,211.0,0.0,0.0,0.0,28.0,52.0,23,0.0,400.2,1
68,181.0,0.0,0.0,0.0,43.0,1.0,9,0.0,375.4166667,0
69,75.0,0.0,0.0,0.0,8.0,12.0,11,0.0,202.33333330000002,0
71,335.0,0.0,0.0,0.0,69.0,60.0,18,0.0,1109.633333,0
73,81.0,0.0,0.0,0.0,43.0,0.0,14,0.0,193.5333333,1
74,246.0,0.0,0.0,0.0,5.0,45.0,17,0.0,470.45,0
75,279.0,0.0,0.0,0.0,100.0,75.0,20,0.0,715.1166667,0
76,92.0,0.0,0.0,0.0,40.0,12.0,7,0.0,273.4833333,0
78,126.0,0.0,0.0,0.0,22.0,35.0,15,0.0,326.9333333,0
81,194.0,0.0,0.0,0.0,68.0,65.0,12,0.0,429.58333330000005,0
83,30.0,0.0,0.0,0.0,4.0,9.0,12,0.0,212.66666669999998,0
86,218.0,0.0,0.0,0.0,69.0,16.0,31,0.0,560.5333333,0
88,275.0,0.0,0.0,0.0,66.0,42.0,12,0.0,475.15,0
90,265.0,0.0,0.0,0.0,54.0,84.0,24,0.0,744.6166667,0
94,87.0,0.0,0.0,0.0,18.0,16.0,23,0.0,158.0333333,0
95,98.0,0.0,0.0,0.0,56.0,2.0,7,0.0,197.3,0
98,151.0,0.0,0.0,0.0,23.0,45.0,17,0.0,190.8666667,0
101,217.0,0.0,0.0,0.0,130.0,8.0,15,0.0,321.6833333,1
103,390.0,0.0,0.0,0.0,75.0,19.0,14,0.0,502.11666669999994,0
104,231.0,0.0,0.0,0.0,60.0,109.0,32,0.0,731.35,0
106,26.0,0.0,0.0,0.0,0.0,6.0,6,0.0,180.83333330000002,1
107,172.0,0.0,0.0,0.0,84.0,0.0,4,0.0,169.7166667,1
111,20.0,0.0,0.0,0.0,0.0,7.0,5,0.0,50.98333333,1
112,390.0,0.0,0.0,0.0,90.0,24.0,21,0.0,939.9833332999999,0
113,207.0,0.0,0.0,0.0,60.0,77.0,16,0.0,504.71666669999996,0
119,325.0,0.0,0.0,0.0,110.0,128.0,15,0.0,592.25,0
120,2280.0,0.0,0.0,0.0,114.0,104.0,9,0.0,478.36666669999994,0
121,156.0,0.0,0.0,0.0,64.0,7.0,7,0.0,349.8,0
123,169.0,0.0,0.0,0.0,39.0,65.0,11,0.0,636.8833333,0
129,184.0,0.0,0.0,0.0,18.0,64.0,8,0.0,230.0333333,1
130,162.0,0.0,0.0,0.0,30.0,30.0,5,0.0,158.1333333,0
131,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.2166666669999997,1
133,98.0,0.0,0.0,0.0,26.0,61.0,8,0.0,459.0666666999999,1
140,95.0,0.0,0.0,0.0,0.0,0.0,13,0.0,149.56666669999998,1
142,122.0,0.0,0.0,0.0,97.0,20.0,11,0.0,301.8833333,0
146,232.0,0.0,0.0,0.0,48.0,84.0,30,0.0,544.45,0
148,421.0,0.0,0.0,0.0,96.0,84.0,23,0.0,557.05,0
151,220.0,0.0,0.0,0.0,95.0,96.0,11,0.0,388.3166667,0
152,321.0,0.0,0.0,0.0,96.0,69.0,11,0.0,639.55,0
155,208.0,0.0,0.0,0.0,84.0,7.0,17,0.0,370.2,0
157,64.0,0.0,0.0,0.0,114.0,0.0,4,0.0,58.15,1
159,437.0,0.0,0.0,0.0,90.0,116.0,24,0.0,1333.15,0
162,133.0,0.0,0.0,0.0,101.0,0.0,5,0.0,264.4833333,0
166,226.0,0.0,0.0,0.0,61.0,74.0,13,0.0,677.8666667,0
167,240.0,0.0,0.0,0.0,27.0,88.0,20,0.0,678.55,0
171,34.0,0.0,0.0,0.0,0.0,10.0,5,0.0,57.26666667,0
173,336.0,0.0,0.0,0.0,107.0,125.0,43,0.0,1131.15,0
176,122.0,0.0,0.0,0.0,43.0,18.0,10,0.0,242.1333333,1
178,217.0,0.0,0.0,0.0,49.0,50.0,23,0.0,527.15,0
180,209.0,0.0,0.0,0.0,38.0,8.0,14,0.0,435.58333330000005,0
186,233.0,0.0,0.0,0.0,9.0,20.0,6,0.0,478.35,0
189,469.0,0.0,0.0,0.0,112.0,209.0,18,0.0,1024.683333,0
196,75.0,0.0,0.0,0.0,98.0,2.0,4,0.0,49.11666667,1
198,197.0,0.0,0.0,0.0,38.0,88.0,30,0.0,826.0,0
201,199.0,0.0,0.0,0.0,57.0,46.0,17,0.0,542.5333333,0
208,20.0,0.0,0.0,0.0,0.0,13.0,6,0.0,99.18333333,0
209,145.0,0.0,0.0,0.0,83.0,47.0,9,0.0,198.5166667,0
212,6.0,0.0,0.0,0.0,0.0,2.0,1,0.0,12.65,1
216,130.0,0.0,0.0,0.0,20.0,31.0,11,0.0,133.7,1
221,143.0,0.0,0.0,0.0,54.0,54.0,21,0.0,446.5666666999999,1
227,213.0,0.0,0.0,0.0,80.0,78.0,11,0.0,496.91666669999995,0
231,149.0,0.0,0.0,0.0,58.0,70.0,10,0.0,427.8,0
234,165.0,0.0,0.0,0.0,66.0,8.0,10,0.0,681.2,0
235,274.0,0.0,0.0,0.0,16.0,2.0,15,0.0,193.68333330000002,1
242,166.0,0.0,0.0,0.0,46.0,18.0,22,0.0,301.3166667,0
244,185.0,0.0,0.0,0.0,37.0,67.0,8,0.0,398.4166667,0
245,20.0,0.0,0.0,0.0,48.0,0.0,7,0.0,23.06666667,1
247,164.0,0.0,0.0,0.0,28.0,9.0,6,0.0,515.8666667,0
250,201.0,0.0,0.0,0.0,81.0,73.0,15,0.0,583.95,0
251,173.0,0.0,0.0,0.0,129.0,3.0,6,0.0,494.21666669999996,0
252,146.0,0.0,0.0,0.0,24.0,89.0,13,0.0,329.0166667,0
254,43.0,0.0,0.0,0.0,6.0,1.0,6,0.0,176.55,1
256,6.0,0.0,0.0,0.0,0.0,2.0,1,0.0,1.6166666669999998,1
257,170.0,0.0,0.0,0.0,68.0,53.0,12,0.0,313.6333333,0
261,156.0,0.0,0.0,0.0,26.0,76.0,14,0.0,466.85,0
264,36.0,0.0,0.0,0.0,4.0,6.0,2,0.0,156.0,1
267,50.0,0.0,0.0,0.0,37.0,0.0,6,0.0,158.5333333,0
268,283.0,0.0,0.0,0.0,107.0,35.0,31,0.0,852.9,0
269,278.0,0.0,0.0,0.0,56.0,51.0,13,0.0,342.75,0
275,63.0,0.0,0.0,0.0,4.0,3.0,8,0.0,119.05,1
277,199.0,0.0,0.0,0.0,27.0,2.0,8,0.0,424.83333330000005,0
278,91.0,0.0,0.0,0.0,116.0,22.0,4,0.0,109.2,0
279,254.0,0.0,0.0,0.0,15.0,119.0,18,0.0,891.55,0
282,82.0,0.0,0.0,0.0,39.0,49.0,12,0.0,425.85,0
285,135.0,0.0,0.0,0.0,141.0,5.0,7,0.0,376.1,0
288,72.0,0.0,0.0,0.0,4.0,19.0,9,0.0,190.7,1
293,95.0,0.0,0.0,0.0,12.0,37.0,4,0.0,169.93333330000002,1
